node_id,node_type,node_name,city,capacity,demand,vulnerability
1,Supplier,Supplier_A,Mumbai,1000,0,0.3
2,Supplier,Supplier_B,Delhi,1200,0,0.25
3,Supplier,Supplier_C,Bangalore,800,0,0.35
4,Warehouse,Warehouse_X,Chennai,2500,100,0.4
5,Warehouse,Warehouse_Y,Kolkata,2800,120,0.35
6,Warehouse,Warehouse_Z,Hyderabad,2200,90,0.45
7,Factory,Factory_1,Pune,3000,200,0.3
8,Factory,Factory_2,Ahmedabad,3500,250,0.25
9,Distribution_Center,DC_North,Noida,2000,300,0.4
10,Distribution_Center,DC_South,Bangalore,1800,280,0.35
11,Distribution_Center,DC_East,Kolkata,1500,220,0.5
12,Customer,Customer_Group_1,Mumbai,0,400,0.1
13,Customer,Customer_Group_2,Delhi,0,350,0.1
14,Customer,Customer_Group_3,Bangalore,0,380,0.1
15,Customer,Customer_Group_4,Chennai,0,300,0.1
16,Customer,Customer_Group_5,Pune,0,320,0.1
17,Customer,Customer_Group_6,Kolkata,0,280,0.1
